source_key,source_display_name,best_candidate_key,best_candidate_display_name,recommendation_grade,n_products_covered,n_companies_covered,aggregate_final_score,aggregate_sourcing_benefit,aggregate_savings_signal,total_estimated_savings_usd,review_required,tradeoff_summary,risk_notes,unique_current_suppliers,unique_recommended_suppliers,top_row_keys,decision_path,llm_model,generated_at
cyanocobalamin-vitamin-b12,cyanocobalamin vitamin b12,vitamin-b12-cyanocobalamin,vitamin b12 cyanocobalamin,safe_to_consolidate,2,2,0.8323,0.4833,0.0,0.0,False,"Consolidate cyanocobalamin vitamin b12 onto vitamin b12 cyanocobalamin across 2 product(s) and 2 companies. Average acceptability 0.89, final score 0.83.",[],"[""Prinova USA"", ""PureBulk""]","[""Prinova USA"", ""PureBulk""]","[""40|58|cyanocobalamin-vitamin-b12|vitamin-b12-cyanocobalamin"", ""62|96|cyanocobalamin-vitamin-b12|vitamin-b12-cyanocobalamin""]",rules,,2026-04-18T08:49:06.314704+00:00
vitamin-b12-cyanocobalamin,vitamin b12 cyanocobalamin,cyanocobalamin-vitamin-b12,cyanocobalamin vitamin b12,safe_to_consolidate,5,1,0.8255,0.4833,0.0,0.0,False,"Consolidate vitamin b12 cyanocobalamin onto cyanocobalamin vitamin b12 across 5 product(s) and 1 company. Average acceptability 0.88, final score 0.83.",[],"[""Prinova USA"", ""PureBulk""]","[""Prinova USA"", ""PureBulk""]","[""27|7|vitamin-b12-cyanocobalamin|cyanocobalamin-vitamin-b12"", ""27|36|vitamin-b12-cyanocobalamin|cyanocobalamin-vitamin-b12"", ""27|101|vitamin-b12-cyanocobalamin|cyanocobalamin-vitamin-b12"", ""27|129|vitamin-b12-cyanocobalamin|cyanocobalamin-vitamin-b12"", ""27|134|vitamin-b12-cyanocobalamin|cyanocobalamin-vitamin-b12""]",rules,,2026-04-18T08:49:06.314704+00:00
pyridoxine-hydrochloride-vitamin-b6,pyridoxine hydrochloride vitamin b6,vitamin-b6,vitamin b6,safe_to_consolidate,2,2,0.7922,0.4833,0.0,0.0,False,"Consolidate pyridoxine hydrochloride vitamin b6 onto vitamin b6 across 2 product(s) and 2 companies. Average acceptability 0.85, final score 0.79.",[],"[""Prinova USA"", ""PureBulk""]","[""Prinova USA"", ""PureBulk""]","[""40|58|pyridoxine-hydrochloride-vitamin-b6|vitamin-b6"", ""62|96|pyridoxine-hydrochloride-vitamin-b6|vitamin-b6""]",rules,,2026-04-18T08:49:06.314704+00:00
vitamin-a-retinyl-palmitate,vitamin a retinyl palmitate,retinyl-palmitate-vitamin-a,retinyl palmitate vitamin a,safe_to_consolidate,1,1,0.7892,0.4833,0.0,0.0,False,"Consolidate vitamin a retinyl palmitate onto retinyl palmitate vitamin a across 1 product(s) and 1 company. Average acceptability 0.81, final score 0.79.",[],"[""Prinova USA"", ""PureBulk""]","[""Prinova USA"", ""PureBulk""]","[""44|21|vitamin-a-retinyl-palmitate|retinyl-palmitate-vitamin-a""]",rules,,2026-04-18T08:49:06.314704+00:00
retinyl-palmitate-vitamin-a,retinyl palmitate vitamin a,vitamin-a-acetate,vitamin a acetate,safe_to_consolidate,1,1,0.7869,0.4833,0.0,0.0,False,"Consolidate retinyl palmitate vitamin a onto vitamin a acetate across 1 product(s) and 1 company. Average acceptability 0.85, final score 0.79.",[],"[""Prinova USA"", ""PureBulk""]","[""Prinova USA"", ""PureBulk""]","[""40|58|retinyl-palmitate-vitamin-a|vitamin-a-acetate""]",rules,,2026-04-18T08:49:06.314704+00:00
